اسم الموقع,المنطقة,النوع,الوصف,المصدر
قلعة تبوك,تبوك,ثقافي,موقع أثري استخدم كمحطة على طريق الحج الشامي.,دارة الملك عبدالعزيز
المسجد العتيق,العلا,ديني,أحد أقدم المساجد في المدينة التاريخية ويتميز بعمارة بسيطة.,هيئة التراث
متحف العقيلات,بريدة,ثقافي,يعرض حياة وتاريخ تجار العقيلات الذين كانوا يجوبون المنطقة.,Visit Saudi
موقع الأسود,تيماء,ثقافي,موقع أثري يحتوي على تماثيل لأسود منحوتة من الصخور كانت تحرس المقابر.,هيئة التراث
قلعة المرقب,القصيم,ثقافي,قلعة تاريخية كانت تستخدم للحماية والمراقبة في العصور القديمة.,هيئة التراث
قصر الحمراء,ينبع,ثقافي,قصر أثري بني في العهد العثماني ويقع بالقرب من البحر الأحمر.,هيئة التراث
برج مياه بريدة,القصيم,معماري,برج مياه ذو تصميم مميز، أصبح معلمًا عمرانيًا ومعرضًا تراثيًا.,Visit Saudi
قصر مشرفة,القصيم,ثقافي,مقر حكومي قديم يتميز بتصميمه الطيني التقليدي في وسط نجد.,هيئة التراث
كهف أم جرسان,خيبر,طبيعي,أطول كهف في المملكة ويتميز بتكويناته البركانية الطبيعية.,هيئة المساحة الجيولوجية
برج الشنانة,الرس,ثقافي,برج مراقبة طيني أثري بني في القرن الثاني عشر الهجري.,هيئة التراث
قصر إبراهيم,الأحساء,ثقافي,حصن تاريخي يعود للحقبة العثمانية ويتميز بفن معماري إسلامي.,هيئة التراث
نقوش الشويمس,حائل,ثقافي,موقع أثري يحتوي على نقوش ورسومات صخرية لحيوانات وإنسان قديم.,اليونسكو
خريبة,العلا,ثقافي,موقع أثري يعود لحضارة اللحيانيين ويضم بقايا معابد ومنحوتات.,هيئة التراث
الفاو الأثرية,الرياض,ثقافي,مدينة أثرية كانت مركزًا تجاريًا وثقافيًا في العصور القديمة.,هيئة التراث
نقوش جبة,حائل,ثقافي,موقع يضم نقوشًا صخرية تعود إلى عصور ما قبل التاريخ.,اليونسكو
منطقة حِمى الثقافية,نجران,ثقافي,منطقة تحتوي على آلاف النقوش الصخرية على طرق القوافل القديمة.,اليونسكو
وادي لجب,جازان,طبيعي,وادي جبلي ضيق يشتهر بتضاريسه الفريدة وينابيع المياه الجارية.,Visit Saudi
متحف الدانة,الدمام,ثقافي,متحف خاص يعرض القطع التراثية القديمة من المنطقة الشرقية.,Visit Saudi
متحف سارة العجمي,حائل,ثقافي,متحف نسائي تراثي يعرض أدوات ومقتنيات من البيئة الحائلية القديمة.,Visit Saudi
قرية رجال ألمع,عسير,ثقافي,قرية جبلية تراثية ذات مبانٍ حجرية ملونة ومزخرفة.,Visit Saudi
دومة الجندل,الجوف,ثقافي,مدينة تاريخية تضم قلاعًا ومساجد وأسوارًا أثرية.,دارة الملك عبدالعزيز
قصر كاف,القريات,ثقافي,قصر أثري تم بناؤه في بداية القرن العشرين ويحتوي على نقوش وزخارف تراثية.,هيئة التراث
متحف الدلم,الخرج,ثقافي,متحف محلي يعرض قطعًا تراثية من المنطقة وتاريخها الاجتماعي.,هيئة التراث
قلعة المعظم,تبوك,ثقافي,محطة قديمة على درب الحج الشامي وتضم مبانٍ دفاعية ومرافق للحجاج.,هيئة التراث
قلعة مارد,دومة الجندل,ثقافي,قلعة أثرية تعود إلى العصر النبطي وتتميز بجدرانها الضخمة وموقعها المرتفع.,دارة الملك عبدالعزيز
مدائن صالح,العلا,ثقافي,موقع أثري يعود إلى مملكة الأنباط ويحتوي على مقابر منحوتة في الصخور.,اليونسكو
موقع دادان,العلا,ثقافي,موقع أثري كان مركزًا لحضارة دادان ويحتوي على مقابر منحوتة.,هيئة التراث
حصن نجران,نجران,ثقافي,حصن تاريخي محاط بجدران عالية وبرج مراقبة، استخدم لأغراض دفاعية.,دارة الملك عبدالعزيز
عين زبيدة,مكة المكرمة,ثقافي,قناة مائية تاريخية أنشأتها زبيدة زوجة هارون الرشيد لسقي الحجاج.,دارة الملك عبدالعزيز
واحة الأحساء,المنطقة الشرقية,ثقافي,واحة طبيعية غنية بالنخيل والعيون وتحتوي على مواقع أثرية متعددة.,اليونسكو
قلعة بخروش بن علاس,الطائف,ثقافي,قلعة من العهد العثماني استخدمت في مقاومة الغزاة.,هيئة التراث
قصر المصمك,الرياض,ثقافي,قلعة تاريخية شهدت فتح الرياض وتعد رمزًا لتوحيد المملكة.,هيئة التراث
بيت البيعة,الأحساء,ثقافي,موقع تاريخي شهد مبايعة الملك عبدالعزيز ويضم مقتنيات أثرية.,هيئة التراث
حي الطريف,الرياض,ثقافي,موقع تاريخي كان مركزًا لحكم الدولة السعودية الأولى ويتميز بعمارة نجدية.,اليونسكو
سكة حديد الحجاز,المدينة المنورة,ثقافي,سكة حديد تاريخية كانت تربط الشام بالحجاز وتمر بعدة محطات تراثية.,هيئة التراث
جدة التاريخية,مكة المكرمة,ثقافي,منطقة قديمة تحتوي على مبانٍ تراثية وأسواق تقليدية، وكانت بوابة الحجاز.,اليونسكو
قلعة أبو خيال,أبها,ثقافي,قلعة تاريخية تقع في منطقة مرتفعة وتوفر إطلالة بانورامية على المدينة.,Visit Saudi
درج قصر الحكم,الرياض,ثقافي,موقع تاريخي يربط بين قصر الحكم وحي الطريف في وسط الرياض.,هيئة تطوير الرياض
قلعة عيرف,حائل,ثقافي,قلعة مبنية من الطين تقع على جبل عيرف وتعود للقرن 17.,هيئة التراث
منطقة أملج البحرية,تبوك,طبيعي,منطقة ساحلية غنية بالشعاب المرجانية وتعتبر جزرها جزءًا من مشروع البحر الأحمر.,Visit Saudi
قصر شبرا,الطائف,ثقافي,قصر تاريخي تم بناؤه في العصر العثماني ويستخدم الآن كمتحف.,هيئة التراث
المسجد النبوي,المدينة المنورة,ديني,ثاني أقدس مسجد في الإسلام ويحتوي على معالم أثرية إسلامية بارزة.,دارة الملك عبدالعزيز
قلعة تاروت,القطيف,ثقافي,قلعة تراثية تعود لما قبل الإسلام، تقع على تلة وسط جزيرة تاروت.,هيئة التراث
قلعة الحجر,تيماء,ثقافي,موقع أثري يحتوي على جدران دفاعية ومعبد نبطي قديم.,هيئة التراث
قرية الجنادرية,الرياض,ثقافي,قرية تراثية تُعرض فيها تقاليد ومهن مناطق المملكة ضمن المهرجان السنوي.,Visit Saudi
عروق بني معارض,نجران,طبيعي,محمية طبيعية غنية بالتنوع البيئي وتعد أول موقع طبيعي سعودي في التراث العالمي.,اليونسكو
قصر الملك عبدالعزيز في خميس مشيط,عسير,ثقافي,مبنى تاريخي استخدم كمقر للملك عبدالعزيز خلال زياراته للمنطقة.,دارة الملك عبدالعزيز
قرية ذي عين,الباحة,ثقافي,قرية تراثية مبنية من الحجر الأبيض وتقع فوق تلة مطلة على عين ماء.,Visit Saudi
بيت نصيف,جدة,ثقافي,بيت تاريخي يعكس أسلوب العمارة الحجازية ويعود للقرن 19.,Visit Saudi
سوق القيصرية,الأحساء,ثقافي,أحد أقدم الأسواق التقليدية في المملكة ويعود تاريخه للقرن 19.,هيئة التراث
قصر شبرا,الطائف,قصر تاريخي,قصر عثماني جميل بطراز معماري فريد، كان مقراً للحكم في الحجاز.,هيئة التراث
بلدة أشيقر التراثية,شقراء,بلدة تراثية,بلدة تاريخية تعكس تراث نجد، ببيوتها الطينية وأسواقها القديمة.,Visit Saudi
سوق المسوكف,عنيزة,سوق تاريخي,سوق تقليدي يجمع بين المقتنيات القديمة والحرف اليدوية والتراث الشعبي.,هيئة التراث
قرية جبة,حائل,موقع رسومات صخرية,موقع تراث عالمي يحتوي على رسومات صخرية تعود لآلاف السنين.,اليونسكو
منطقة الفاو,وادي الدواسر,مدينة أثرية,عاصمة مملكة كندة الأولى وتعد من أهم المواقع الأثرية في الجزيرة العربية.,دارة الملك عبدالعزيز
